# index, label, movie_id, viz, vid, _pos
27,DRILL SERGEANT,316,"{'color': {'r': 169, 'g': 208, 'b': 253, 'a': 1.0}, 'size': 5.0, 'position': {'x': -240.5737, 'y': 295.10834, 'z': 0.0}}",1906086,"array([-10.5785379 ,  19.05183076])"
28,DRIVER,316,"{'color': {'r': 255, 'g': 170, 'b': 51, 'a': 1.0}, 'size': 5.0, 'position': {'x': -85.81522, 'y': -113.87631, 'z': 0.0}}",1906426,"array([-14.51380012,  19.31656171])"
29,EARL,316,"{'color': {'r': 95, 'g': 202, 'b': 190, 'a': 1.0}, 'size': 5.0, 'position': {'x': -22.195547, 'y': -305.84073, 'z': 0.0}}",1905327,"array([-13.54457269,  18.04545143])"
30,ELDERLY WOMAN,316,"{'color': {'r': 169, 'g': 208, 'b': 253, 'a': 1.0}, 'size': 5.0, 'position': {'x': -49.28968, 'y': 116.1077, 'z': 0.0}}",1909281,"array([-10.36849443,  19.77498105])"
31,ELVIS,316,"{'color': {'r': 95, 'g': 202, 'b': 190, 'a': 1.0}, 'size': 5.0, 'position': {'x': -86.2057, 'y': 34.942097, 'z': 0.0}}",1904484,"array([-12.53020803,  18.41441076])"
32,EMCEE,316,"{'color': {'r': 255, 'g': 102, 'b': 0, 'a': 1.0}, 'size': 5.0, 'position': {'x': -359.3295, 'y': 64.228714, 'z': 0.0}}",1906258,"array([-12.46368449,  21.07159739])"
33,ERNIE,316,"{'color': {'r': 255, 'g': 170, 'b': 51, 'a': 1.0}, 'size': 5.0, 'position': {'x': 279.6599, 'y': -81.146545, 'z': 0.0}}",1910391,"array([-13.90527789,  19.8591397 ])"
34,FOOTBALL COACH,316,"{'color': {'r': 95, 'g': 202, 'b': 190, 'a': 1.0}, 'size': 5.0057907, 'position': {'x': -152.48921, 'y': -104.128494, 'z': 0.0}}",1905199,"array([-14.99637657,  18.5905489 ])"
35,FORREST,316,"{'color': {'r': 95, 'g': 202, 'b': 190, 'a': 1.0}, 'size': 20.0, 'position': {'x': -1.8153414, 'y': 29.45962, 'z': 0.0}}",1904077,"array([-12.81360359,  19.80349618])"
36,FORREST JR,316,"{'color': {'r': 255, 'g': 170, 'b': 51, 'a': 1.0}, 'size': 5.0, 'position': {'x': 300.7883, 'y': -19.692541, 'z': 0.0}}",1910401,"array([-13.6848591 ,  19.43512542])"
